step,bucket,lag,n_sequences,correlation,masked_mse
0,train,1,63,-0.9999998928509838,2.705549478530884
0,train,2,61,0.018842992764439872,1.5130811929702759
0,train,3,62,0.005693579228242505,1.7476681470870972
0,train,4,60,0.058820640778497434,1.6072477102279663
0,train,5,63,-0.01500896067025609,1.708853006362915
0,train,6,65,0.01245268247568074,1.5855720043182373
0,train,7,55,0.01966604378234188,1.5978615283966064
0,train,8,62,-0.011486241575022076,1.8892260789871216
0,train,9,63,-0.0034732668128319337,1.740485429763794
0,train,10,56,0.012928581969165479,1.6000055074691772
0,train,11,70,-0.001411008122337003,1.6625434160232544
0,train,12,66,0.01373502550505001,1.768752932548523
0,train,13,68,0.031103523060143946,1.6675243377685547
0,train,14,69,-0.009505763988493364,1.6904032230377197
0,train,16,74,0.015066796195099335,1.5418301820755005
0,train,17,73,0.02538701020733517,1.634163737297058
0,train,18,60,0.005011047731257134,1.6698715686798096
0,train,19,69,0.013186509087820675,1.6060326099395752
0,train,20,58,0.007783698202052896,1.9832701683044434
0,train,21,75,0.003954271417232519,1.6541110277175903
0,train,22,61,-0.012124834484871427,1.5601613521575928
0,train,23,57,-0.01299356943817824,1.7234405279159546
0,train,24,54,-0.0030265468939652197,1.6685914993286133
0,train,25,69,0.012492082003017971,1.7671880722045898
0,train,26,61,0.0014222025691222183,1.779098629951477
0,train,28,58,0.025938638561451587,1.6239702701568604
0,train,29,55,0.0064293747360025305,1.7151986360549927
0,train,30,69,-0.0030991795983670513,1.5998204946517944
0,train,31,72,0.027894598820920057,1.7361410856246948
0,train,32,56,-0.006237411714387788,1.703635811805725
0,train,33,65,0.019297353879677688,1.6365389823913574
0,train,34,64,0.018937590506360017,1.5620994567871094
0,train,35,67,-0.04940684417422269,1.670883297920227
0,train,36,66,0.0135226664491627,1.6815130710601807
0,train,37,70,-0.003262324148750539,1.643041968345642
0,train,39,58,0.013609252658310865,1.7054823637008667
0,train,40,58,-0.01772865104484207,1.5878669023513794
0,train,41,65,0.021281737436981,1.6602169275283813
0,train,42,61,-0.01530401339267788,1.6380462646484375
0,train,43,74,-0.001803175335040228,1.6850284337997437
0,train,44,68,0.025852686497055757,1.5832127332687378
0,train,45,60,0.025360973041370048,1.625078558921814
0,train,46,61,-0.03196945581823137,1.6909483671188354
0,train,47,71,-0.017971705206988976,1.7126928567886353
0,train,48,58,0.030456600284367915,1.6995073556900024
0,train,49,54,0.03994231041566357,1.6984312534332275
0,train,50,76,-0.021726770722070576,1.6682510375976562
0,train,mean,3000,-0.015137641398482872,1.6924211978912354
0,held_interior,15,974,-0.0016398818044630029,1.6372714042663574
0,held_interior,27,1061,-0.0010765733281140669,1.6624908447265625
0,held_interior,38,965,0.0010515835983197705,1.6691564321517944
0,held_interior,mean,3000,-0.0005549571780857663,1.6564470529556274
0,held_high,52,986,-0.00025634490745636275,1.6634328365325928
0,held_high,55,1002,-0.003165416251868687,1.6851662397384644
0,held_high,58,1012,-0.0013106735592008454,1.6570104360580444
