step,bucket,lag,n_sequences,correlation,masked_mse
0,train,1,63,-0.9696981844571383,1.9593309164047241
0,train,2,61,0.02033258151896661,1.1794345378875732
0,train,3,62,0.007213664709848846,1.3109376430511475
0,train,4,60,0.06636632648633053,1.3206068277359009
0,train,5,63,-0.016416795997169036,1.35271418094635
0,train,6,65,0.023245955224091668,1.2811503410339355
0,train,7,55,0.014180639468165937,1.2908670902252197
0,train,8,62,-0.004623901710814855,1.3339804410934448
0,train,9,63,-0.00026972164270665087,1.3447909355163574
0,train,10,56,0.009759321352912803,1.2405825853347778
0,train,11,70,-0.0019737475629156126,1.2695434093475342
0,train,12,66,0.015234900176660746,1.2822059392929077
0,train,13,68,0.03338277616431078,1.1866596937179565
0,train,14,69,-0.008692361090708416,1.3063805103302002
0,train,16,74,0.02123787333296596,1.2309828996658325
0,train,17,73,0.027525856843226705,1.2818107604980469
0,train,18,60,-0.008405287588577176,1.244619369506836
0,train,19,69,0.007805146764118452,1.2738250494003296
0,train,20,58,0.010339266511658986,1.2838666439056396
0,train,21,75,0.002872106641979257,1.2230892181396484
0,train,22,61,-0.02282194580417342,1.287794828414917
0,train,23,57,-0.011290646789430632,1.2784945964813232
0,train,24,54,-0.00618095568671133,1.3078194856643677
0,train,25,69,0.01010786656928265,1.2857025861740112
0,train,26,61,0.01173825774714612,1.3110864162445068
0,train,28,58,0.02609702069671362,1.2414029836654663
0,train,29,55,0.011279034803953656,1.268701195716858
0,train,30,69,-0.009113450694869308,1.306084156036377
0,train,31,72,0.027747163299339857,1.3026933670043945
0,train,32,56,5.225723405914646e-05,1.2347718477249146
0,train,33,65,0.02047636918609981,1.2973588705062866
0,train,34,64,0.021536754904383643,1.2650401592254639
0,train,35,67,-0.04327855744808728,1.3234171867370605
0,train,36,66,0.019930860058237954,1.327062964439392
0,train,37,70,-0.007290945261227943,1.3304681777954102
0,train,39,58,0.017001219262804887,1.291020154953003
0,train,40,58,-0.018304162899302825,1.3249622583389282
0,train,41,65,0.014565381249081088,1.267472505569458
0,train,42,61,-0.020067155498510528,1.2525577545166016
0,train,43,74,-0.004294511951861914,1.3511736392974854
0,train,44,68,0.025301004896492514,1.2340261936187744
0,train,45,60,0.02286586397933943,1.3083373308181763
0,train,46,61,-0.030089231110534624,1.2364240884780884
0,train,47,71,-0.017243593845757826,1.3422199487686157
0,train,48,58,0.02132665820594165,1.2556227445602417
0,train,49,54,0.044926247354541295,1.2914742231369019
0,train,50,76,-0.026954045882234573,1.3040735721588135
0,train,mean,3000,-0.014309804857022925,1.2985422611236572
0,held_interior,15,974,-0.0018370953565784178,1.2934203147888184
0,held_interior,27,1061,0.002463412351557358,1.2881097793579102
0,held_interior,38,965,-0.001221307173111388,1.288806676864624
0,held_interior,mean,3000,-0.00019833005937748257,1.2900581359863281
0,held_high,52,986,0.00020643575746500902,1.2747840881347656
0,held_high,55,1002,-0.0028963045379686012,1.2785472869873047
0,held_high,58,1012,-0.0012621019497720458,1.2863678932189941
0,held_high,mean,3000,-0.0013173235767585459,1.2799485921859741
10000,train,1,63,0.9841606784583632,0.21938982605934143
10000,train,2,61,0.8886968681902846,0.33592480421066284
10000,train,3,62,0.8309012942117353,0.46197831630706787
10000,train,4,60,0.8438029819263805,0.43822795152664185
10000,train,5,63,0.853187680710887,0.4213866591453552
10000,train,6,65,0.8503918088570372,0.40675464272499084
10000,train,7,55,0.8498568115060546,0.4110040068626404
10000,train,8,62,0.8805391145756464,0.38922926783561707
10000,train,9,63,0.8601657890169195,0.4139493405818939
10000,train,10,56,0.8487755000267497,0.4081030786037445
10000,train,11,70,0.8511595118097834,0.41624659299850464
10000,train,12,66,0.8742922264934999,0.39249932765960693
10000,train,13,68,0.8143814767931674,0.45313021540641785
10000,train,14,69,0.8254714387778405,0.4619741439819336
10000,train,16,74,0.8521614839390017,0.39702343940734863
10000,train,17,73,0.8395799891125114,0.43298518657684326
10000,train,18,60,0.8303105027439203,0.43302902579307556
10000,train,19,69,0.8355895790330885,0.4312053322792053
10000,train,20,58,0.8458039189537733,0.4494626522064209
10000,train,21,75,0.8503534156665904,0.402458131313324
10000,train,22,61,0.8442910859056763,0.41132086515426636
10000,train,23,57,0.8608043896244822,0.400147020816803
10000,train,24,54,0.9001293316535095,0.34810715913772583
10000,train,25,69,0.8548085654645895,0.41862693428993225
10000,train,26,61,0.8278466365406972,0.4625687301158905
10000,train,28,58,0.8033168580344119,0.4760388731956482
10000,train,29,55,0.8142331985607724,0.4687831401824951
10000,train,30,69,0.8234301592022162,0.44071054458618164
10000,train,31,72,0.8340082199040183,0.45217928290367126
10000,train,32,56,0.8196318532827164,0.4539561867713928
10000,train,33,65,0.8259208593227645,0.45124325156211853
10000,train,34,64,0.8011803086866541,0.4704365134239197
10000,train,35,67,0.82635936930741,0.44378262758255005
10000,train,36,66,0.8206868168590107,0.46731019020080566
10000,train,37,70,0.8185660125844227,0.46048933267593384
10000,train,39,58,0.8122336879050073,0.4837409257888794
10000,train,40,58,0.8028915564638363,0.46796533465385437
10000,train,41,65,0.8207971724138323,0.45224443078041077
10000,train,42,61,0.8135361569841628,0.44852539896965027
10000,train,43,74,0.8304144314455193,0.4509568214416504
10000,train,44,68,0.8320016315890756,0.4349115788936615
10000,train,45,60,0.8498808995373676,0.41837990283966064
10000,train,46,61,0.8775409718891006,0.37171950936317444
10000,train,47,71,0.9028789792118006,0.3477119505405426
10000,train,48,58,0.9148907242686533,0.32613855600357056
10000,train,49,54,0.8814141564155921,0.3797611594200134
10000,train,50,76,0.7936631852963735,0.4871695041656494
10000,train,mean,3000,0.8450412614714236,0.4234180152416229
10000,held_interior,15,974,0.8089292192491339,0.4704331159591675
10000,held_interior,27,1061,0.8094985882058868,0.47301238775253296
10000,held_interior,38,965,0.8070486988723198,0.47316935658454895
10000,held_interior,mean,3000,0.8084921687757802,0.4722254276275635
10000,held_high,52,986,0.5342943674496818,0.7994961142539978
10000,held_high,55,1002,0.2674926840365053,1.102562665939331
10000,held_high,58,1012,0.14967200473101785,1.240838885307312
10000,held_high,mean,3000,0.3171530187390683,1.0496000051498413
20000,train,1,63,0.9920038333874498,0.21243353188037872
20000,train,2,61,0.9781343808073432,0.22176454961299896
20000,train,3,62,0.9661841633288266,0.25019800662994385
20000,train,4,60,0.9503079856791946,0.28080400824546814
20000,train,5,63,0.9385396015676213,0.292041152715683
20000,train,6,65,0.9383170630341705,0.2798795998096466
20000,train,7,55,0.9373278268866473,0.2830267548561096
20000,train,8,62,0.9477334227377995,0.2800695300102234
20000,train,9,63,0.9364873749097113,0.29959914088249207
20000,train,10,56,0.9327014171815526,0.2886422276496887
20000,train,11,70,0.9267819411360768,0.3081374764442444
20000,train,12,66,0.9509758986611531,0.2717820107936859
20000,train,13,68,0.9271301585285833,0.29791784286499023
20000,train,14,69,0.922471059305123,0.3166947662830353
20000,train,16,74,0.936143181139776,0.28397059440612793
20000,train,17,73,0.934833022023136,0.29772767424583435
20000,train,18,60,0.934197766271665,0.2875215709209442
20000,train,19,69,0.9387418830637954,0.28588518500328064
20000,train,20,58,0.9395735676288324,0.2977810204029083
20000,train,21,75,0.9257833547497604,0.3012254238128662
20000,train,22,61,0.9197244433795055,0.3083195388317108
20000,train,23,57,0.9398755498630555,0.27966585755348206
20000,train,24,54,0.9556363874217543,0.2634686529636383
20000,train,25,69,0.9381672447256069,0.2852254807949066
20000,train,26,61,0.9272480762176148,0.30591878294944763
20000,train,28,58,0.9229082045130933,0.30423152446746826
20000,train,29,55,0.9292380327756021,0.3014754354953766
20000,train,30,69,0.9271213323152788,0.30097874999046326
20000,train,31,72,0.9403845026384479,0.28936824202537537
20000,train,32,56,0.9297669824567889,0.2985188364982605
20000,train,33,65,0.9357675123156449,0.2891387343406677
20000,train,34,64,0.9226376966180678,0.30740222334861755
20000,train,35,67,0.928269671570258,0.3029232621192932
20000,train,36,66,0.9317713134905796,0.30192744731903076
20000,train,37,70,0.9311666409474593,0.29814615845680237
20000,train,39,58,0.9142707776775194,0.3352099359035492
20000,train,40,58,0.9122013664667573,0.32837703824043274
20000,train,41,65,0.9184537538751424,0.31948596239089966
20000,train,42,61,0.8991128401219645,0.3311822712421417
20000,train,43,74,0.9052239398526223,0.3438495993614197
20000,train,44,68,0.8993619663014917,0.3365842401981354
20000,train,45,60,0.9231399454199196,0.31088557839393616
20000,train,46,61,0.939793231762491,0.2790184020996094
20000,train,47,71,0.9537109447530868,0.2683428227901459
20000,train,48,58,0.9639859493737264,0.2516970932483673
20000,train,49,54,0.9574095955916289,0.2601054906845093
20000,train,50,76,0.9332548384885714,0.292176216840744
20000,train,mean,3000,0.9351908860204659,0.2926087975502014
20000,held_interior,15,974,0.9153581260638113,0.32150331139564514
20000,held_interior,27,1061,0.9200550160003371,0.31561049818992615
20000,held_interior,38,965,0.918517880276229,0.31848952174186707
20000,held_interior,mean,3000,0.9179770074467924,0.3184497654438019
20000,held_high,52,986,0.7709242081858212,0.5219472646713257
20000,held_high,55,1002,0.6125346886186447,0.732805609703064
20000,held_high,58,1012,0.47837936364366684,0.8960305452346802
20000,held_high,mean,3000,0.6206127534827109,0.7185646891593933
30000,train,1,63,0.9840493769540434,0.2201545089483261
30000,train,2,61,0.9898825042913905,0.1990097612142563
30000,train,3,62,0.9719527225751255,0.2427452802658081
30000,train,4,60,0.9641493511594641,0.2570461630821228
30000,train,5,63,0.9571255331248654,0.2630779445171356
30000,train,6,65,0.9527733514777676,0.25739824771881104
30000,train,7,55,0.9530110774326928,0.2578124701976776
30000,train,8,62,0.956954743001475,0.26416903734207153
30000,train,9,63,0.9537563511030533,0.26722705364227295
30000,train,10,56,0.9521426632860075,0.2597475051879883
30000,train,11,70,0.9409795491304533,0.28502506017684937
30000,train,12,66,0.9603367681663968,0.2578798830509186
30000,train,13,68,0.9449563627530702,0.26792266964912415
30000,train,14,69,0.936174073715316,0.29523444175720215
30000,train,16,74,0.9421403038781385,0.2753806412220001
30000,train,17,73,0.9488382654610628,0.2741926312446594
30000,train,18,60,0.9441411105965043,0.2736411690711975
30000,train,19,69,0.9460477325328887,0.2744460701942444
30000,train,20,58,0.9485431341753651,0.2785438001155853
30000,train,21,75,0.9368058364282988,0.28461238741874695
30000,train,22,61,0.9292873926558308,0.2956196665763855
30000,train,23,57,0.952438235957538,0.26380014419555664
30000,train,24,54,0.9594832777983284,0.25590500235557556
30000,train,25,69,0.9547974415627535,0.2600099444389343
30000,train,26,61,0.9461356192428567,0.27890533208847046
30000,train,28,58,0.9433650898439032,0.2723846733570099
30000,train,29,55,0.9502694671813859,0.2684800624847412
30000,train,30,69,0.9425196774697002,0.2790697515010834
30000,train,31,72,0.9524099457902848,0.27225691080093384
30000,train,32,56,0.9431010367406325,0.27769359946250916
30000,train,33,65,0.9497259650018297,0.268595814704895
30000,train,34,64,0.9401678829220932,0.2822314500808716
30000,train,35,67,0.9454728935879904,0.27595722675323486
30000,train,36,66,0.9440132293674856,0.2804236114025116
30000,train,37,70,0.9497364640478669,0.26780253648757935
30000,train,39,58,0.9370651339354782,0.2959747016429901
30000,train,40,58,0.9365978330224649,0.2921709716320038
30000,train,41,65,0.9436569300577343,0.28149741888046265
30000,train,42,61,0.9279961341977766,0.29499495029449463
30000,train,43,74,0.9400003699539096,0.2869422137737274
30000,train,44,68,0.9247379490221469,0.2985801696777344
30000,train,45,60,0.9443731437703319,0.2779347598552704
30000,train,46,61,0.9561177291372394,0.25747931003570557
30000,train,47,71,0.9626293915291235,0.2538568079471588
30000,train,48,58,0.9611931159707575,0.2591072618961334
30000,train,49,54,0.968666467898541,0.2409290373325348
30000,train,50,76,0.9580095689859812,0.25306862592697144
30000,train,mean,3000,0.949972940380752,0.26941314339637756
30000,held_interior,15,974,0.9236762091718685,0.3098524510860443
30000,held_interior,27,1061,0.9391483766541907,0.28598588705062866
30000,held_interior,38,965,0.9371492796768047,0.2900683283805847
30000,held_interior,mean,3000,0.933324621834288,0.2950477600097656
30000,held_high,52,986,0.8014136689769844,0.48531708121299744
30000,held_high,55,1002,0.6617054016352071,0.6807701587677002
30000,held_high,58,1012,0.5380217222832342,0.8401574492454529
30000,held_high,mean,3000,0.6670469309651419,0.6702978610992432
40000,train,1,63,0.9957312564056477,0.19994042813777924
40000,train,2,61,0.9894827386715119,0.2033507525920868
40000,train,3,62,0.9866804665210102,0.2142004668712616
40000,train,4,60,0.9641300814819312,0.2575523555278778
40000,train,5,63,0.9587322442621049,0.25995713472366333
40000,train,6,65,0.951683322438619,0.2584076523780823
40000,train,7,55,0.9587876078685698,0.24884633719921112
40000,train,8,62,0.9592947494335501,0.2601935565471649
40000,train,9,63,0.9568912411311492,0.26316511631011963
40000,train,10,56,0.954227107482174,0.25475603342056274
40000,train,11,70,0.9439569467356503,0.27908462285995483
40000,train,12,66,0.9635438231481346,0.25145602226257324
40000,train,13,68,0.944967604308685,0.2715889811515808
40000,train,14,69,0.9403193533780885,0.28882575035095215
40000,train,16,74,0.9501134908430845,0.26489096879959106
40000,train,17,73,0.9548074402529808,0.2653258740901947
40000,train,18,60,0.9487624579578423,0.2688744366168976
40000,train,19,69,0.9510617816194299,0.26668375730514526
40000,train,20,58,0.9545406934527948,0.2687338888645172
40000,train,21,75,0.9428308908813929,0.2747576832771301
40000,train,22,61,0.9333832950557741,0.29063260555267334
40000,train,23,57,0.951010873370427,0.2647258937358856
40000,train,24,54,0.9595337848543675,0.2537539005279541
40000,train,25,69,0.9535334335598634,0.26171591877937317
40000,train,26,61,0.9399184952592686,0.2858375906944275
40000,train,28,58,0.9434086638959429,0.27366313338279724
40000,train,29,55,0.9478803926989323,0.271372526884079
40000,train,30,69,0.9438018282292397,0.277849942445755
40000,train,31,72,0.9539908445716767,0.26675060391426086
40000,train,32,56,0.9447184852977718,0.2777497172355652
40000,train,33,65,0.9479114248812319,0.2710767388343811
40000,train,34,64,0.9316371892987101,0.2950937747955322
40000,train,35,67,0.9376327559852086,0.28421348333358765
40000,train,36,66,0.9386897734330074,0.28970006108283997
40000,train,37,70,0.9461982556164701,0.2726794481277466
40000,train,39,58,0.9397172459567601,0.29031091928482056
40000,train,40,58,0.9357648334229511,0.2908550798892975
40000,train,41,65,0.9414193987582656,0.28164222836494446
40000,train,42,61,0.9270206879625769,0.29664647579193115
40000,train,43,74,0.9394273075568842,0.28746217489242554
40000,train,44,68,0.9281032306148841,0.29756367206573486
40000,train,45,60,0.9482674162221305,0.2705569863319397
40000,train,46,61,0.9547551674440419,0.25619009137153625
40000,train,47,71,0.9632561180024113,0.25225013494491577
40000,train,48,58,0.9668269414923721,0.2483745813369751
40000,train,49,54,0.9636181148752306,0.247386172413826
40000,train,50,76,0.9553689289009402,0.25878143310546875
40000,train,mean,3000,0.9512200039466316,0.2670396864414215
40000,held_interior,15,974,0.9291160092595604,0.301361620426178
40000,held_interior,27,1061,0.9358178066093444,0.2912011742591858
40000,held_interior,38,965,0.9326218404077299,0.2967984974384308
40000,held_interior,mean,3000,0.9325185520922116,0.29630038142204285
40000,held_high,52,986,0.7991839174396773,0.48673123121261597
40000,held_high,55,1002,0.6665395584216567,0.670028567314148
40000,held_high,58,1012,0.5464747502311023,0.8216207027435303
40000,held_high,mean,3000,0.670732742030812,0.6609219312667847
50000,train,1,63,0.9951511026222756,0.20284095406532288
50000,train,2,61,0.9895540455208398,0.19965912401676178
50000,train,3,62,0.9847788744833513,0.21801050007343292
50000,train,4,60,0.9666478332579017,0.2525831460952759
50000,train,5,63,0.963516301366183,0.25316303968429565
50000,train,6,65,0.9597315739711173,0.24493370950222015
50000,train,7,55,0.9617507603606622,0.2429531216621399
50000,train,8,62,0.964300266018261,0.25203853845596313
50000,train,9,63,0.9626671393403613,0.25133857131004333
50000,train,10,56,0.9589688772771103,0.25165504217147827
50000,train,11,70,0.9513385144845025,0.27010348439216614
50000,train,12,66,0.9667354848117081,0.24613681435585022
50000,train,13,68,0.9469628052228599,0.2676544785499573
50000,train,14,69,0.9415420613942401,0.287492036819458
